
[INFO ] 13-06-2021 04:16:40.378 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_45 on DESKTOP-EUKBLH3 with PID 15896 (C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject\target\classes started by fhasa in C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject)
[INFO ] 13-06-2021 04:16:40.384 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: Farshad
[INFO ] 13-06-2021 04:16:49.224 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Started OnlineShopApplication in 10.029 seconds (JVM running for 11.844)
[INFO ] 13-06-2021 04:22:26.000 AM [http-nio-8080-exec-1]  c.m.onlineShop.controller.SampleLogerController - get customer by id
[INFO ] 13-06-2021 04:22:26.012 AM [http-nio-8080-exec-2]  c.m.onlineShop.controller.SampleLogerController - get customer by id
[INFO ] 13-06-2021 04:22:26.020 AM [http-nio-8080-exec-3]  c.m.onlineShop.controller.SampleLogerController - get customer by id
[INFO ] 13-06-2021 04:22:33.508 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_45 on DESKTOP-EUKBLH3 with PID 15952 (C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject\target\classes started by fhasa in C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject)
[INFO ] 13-06-2021 04:22:33.514 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: Farshad
[INFO ] 13-06-2021 04:23:08.070 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_45 on DESKTOP-EUKBLH3 with PID 10108 (C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject\target\classes started by fhasa in C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject)
[INFO ] 13-06-2021 04:23:08.077 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: Farshad
[INFO ] 13-06-2021 04:23:16.577 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Started OnlineShopApplication in 9.789 seconds (JVM running for 11.588)
[INFO ] 13-06-2021 04:23:42.146 AM [http-nio-8080-exec-5]  c.m.onlineShop.controller.SampleLogerController - get customer by id
[INFO ] 13-06-2021 04:23:49.959 AM [http-nio-8080-exec-6]  c.m.onlineShop.controller.SampleLogerController - get customer by id
[INFO ] 13-06-2021 04:28:34.656 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_45 on DESKTOP-EUKBLH3 with PID 8448 (C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject\target\classes started by fhasa in C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject)
[INFO ] 13-06-2021 04:28:34.662 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: Farshad
[INFO ] 13-06-2021 04:28:43.098 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Started OnlineShopApplication in 9.756 seconds (JVM running for 11.796)
